"shopping_in","Shopping in"
"order_id","Order ID"
"technical_error","There was a technical error occured."
"payment_not_passed","Your payment is not passed."
"processing_payment","Please wait, your payment is being processed"
"auto_refresh","This page refreshes automatically each"
"next_refresh","Next time it will refresh in"
"seconds","sec"
"check_result","Check result"
"status_title","Payment being processed"
"cutomer_redirected","Customer was redirected to PaynetEasy"
"cutomer_returned","Customer was returned from PaynetEasy"